"RT @RailMinIndia: आम जनता की सहूलियत को ध्यान रखते हुये, भारतीय रेल द्वारा आगरा  मंडल के मथुरा-वृंदावन सेक्शन के बीच चलने वाली रेलबस सेवा…"
RT @drharshvardhan: मैंने कहा कि नई दिल्ली रेलवे स्टेशन पर विकास के कई कार्य हो रहे हैं जिसके तहत यहां 6मी. चौड़ा स्काई वाॅक बनाया जा रहा…
RT @Shanktan: Don't get confused. It's from India! Railway bridge towards Katra near Jammu. The development happened in last 5-6 years in @…
"RT @RailMinIndia: Shri V.K.Yadav, Chairman Railway Board, today inaugurated the Health ATM Kiosk for public use at Lucknow Junction station…"
"RT @iam_shaili: Well done India well done Piyush Goyal sir....
First day of Tejas.... I am so excited for my journey with Tejas @RailMinInd…"
"Board 12465 today from Kota to Jaipur. Train was right at Kota Junction but delayed significantly on the way. I have to catch 12016 Shtabdi Express from Jaipur. Now pls tell me who is responsible for my losses. 
@RailMinIndia @RailwaySeva"
"RT @ransinghBJP: शौक गए न,यह भारत  है!  जम्मू के पास कटरा की ओर रेलवे पुल @RailMinIndia में पिछले 5-6 वर्षों में हुआ विकास सराहनीय है।
 लोग…"
"My Pnr No-2301173860.
@RailMinIndia
Dear Railway Department Please Look This.Train No-04194,Couch S2.@RailwaySeva @PiyushGoyal https://t.co/309dXAQZTA"
What's the point we cancelling our waiting list tickets and booking tatkal when we have to travel in such a chaos.. It's better @RailMinIndia remove the concept of sleeper and keep only general coaches in the trains..
RT @Shanktan: Don't get confused. It's from India! Railway bridge towards Katra near Jammu. The development happened in last 5-6 years in @…
@altstweets @RailMinIndia PLEASE LOOK INTO THE MATTER @drmkota
"Dear @PiyushGoyalजी कृपया जंगलों में ट्रेन कि गति को धीमा करें,27सितंबर को पूर्वोत्तर भारत में एक हाथी ट्रेन से टकराकर बुरी तरह से घायल हो गया और बाद में मौत हो गयी।बेहद दर्दनाक वीडियो ।
इस संबंध में गाईडलाईन जारी करें @PMOIndia @narendramodi @peta @SwetaSinghAT @RailMinIndia https://t.co/5QIT9heU46"
"RT @RailMinIndia: आम जनता की सहूलियत को ध्यान रखते हुये, भारतीय रेल द्वारा आगरा  मंडल के मथुरा-वृंदावन सेक्शन के बीच चलने वाली रेलबस सेवा…"
"Train#12829 is running late by more than 2 hrs and I have got a connecting bus at 19:30.
Can you please make this train run on schedule now such that I don't miss my bus.
Please....it's a humble request.
PNR#  - 4716394390
@PiyushGoyal 
@RailMinIndia 
@DRMKhurdaroad 
@gmecrl"
"PNR 4364118739 cancelled being Waitlist after chart preparation, Amount 595 will be refunded in your account within 3-4 days. I paid 730 rs and refund is only 595 what’s going on @PiyushGoyal @IRCTCofficial @RailMinIndia @SCRailwayIndia"
"आयुष्यात इतके सुंदर , स्वच्छ रेल्वे ट्रॅक स्थानकावर तरी पाहिले नव्हते...हा खरा बदल घडलाय ..उत्तम कार्य @PiyushGoyal @RailMinIndia @WesternRly @narendramodi . आता फक्त रेल्वे ने मराठीमध्ये उत्तम सेवा उपलब्ध करून द्याव्यात. @mi_puneri @Hindsagar @Rajgurunagar @ekikaranmarathi https://t.co/Vidh2Z9CQO"
"RT @amarhyb: @RailMinIndia  @PiyushGoyalOffc @girirajsinghbjp 

हम लोगों का एक दिन का सैलरी काट के केरला को भेजा गया जब आपदा आई हुई थी

 तो…"
"RT @RailMinIndia: आम जनता की सहूलियत को ध्यान रखते हुये, भारतीय रेल द्वारा आगरा  मंडल के मथुरा-वृंदावन सेक्शन के बीच चलने वाली रेलबस सेवा…"
RT @Shanktan: Don't get confused. It's from India! Railway bridge towards Katra near Jammu. The development happened in last 5-6 years in @…
"@srdeecogmumbai1 @drmmumbaicr @RailwaySeva @RailMinIndia @PiyushGoyal 
दोपहर के 1.30 से AC1 का तापमान घटने के नाम नही ले रहा है और काफी ढूढने के बाद onboarding staff आते और बोलते है इससे कम तापमान नही हो सकता है बाहर के तापमान बढ़ने के कारण यैसा हो रहा है बार बार कंप्रेसर ट्रिप कर जा रहा है"
